1,"out_property[out_property,...]","The Z properties that will be added to the attribute table of the input feature class. The following options are available:

Z ！Spot elevation of single-point feature.
POINT_COUNT ！Number of points in each multipoint feature.
Z_MIN ！Lowest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MAX ！Highest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MEAN ！Average Z value found in each multipoint, polyline, polygon, or multipatch feature.
LENGTH_3D ！3-dimensional length of each polyline or polygon feature.
SURFACE_AREA ！Total area of the surface of a multipatch feature.
VERTEX_COUNT ！Total number of vertices in each polyline or polygon feature.
MIN_SLOPE ！Lowest slope value calculated for each polyline, polygon, or multipatch feature.
MAX_SLOPE ！Highest slope value calculated for each polyline, polygon, or multipatch feature.
AVG_SLOPE ！Average slope value calculated for each polyline, polygon, or multipatch feature.
VOLUME ！Volume of space enclosed by each multipatch feature.",LiteralData,String,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,
171,Output_Table,The output table.,NonGeoData,Table,,,,,,,,,,,,,,,,
172,Output_Excel_File,The output Microsoft Excel file.,GeoData,File,,,,,,,,,,,,,,,,
173,Output_Feature_class,The feature class  to create.,Vector,Feature Class,,,,,,,,,,,,,,,,
174,output_folder,The destination folder for the file geodatabase and layer (.lyr) file.,GeoData,Folder,,,,,,,,,,,,,,,,
175,out_ascii_file,The output ASCII raster file.,GeoData,File,,,,,,,,,,,,,,,,
176,out_float_file,The output floating-point raster file.The file name must have a .flt extension.,GeoData,File,,,,,,,,,,,,,,,,
177,out_point_features,The output feature class that will contain the converted points.,Vector,Feature Class,,,,,,,,,,,,,,,,
178,out_polygon_features,The output feature class that will contain the converted polygons.,Vector,Feature Class,,,,,,,,,,,,,,,,
179,out_polyline_features,The output feature class that will contain the converted polylines.,Vector,Feature Class,,,,,,,,,,,,,,,,
180,out_video_file,The output video file (*.avi or *.mov).,GeoData,File,,,,,,,,,,,,,,,,
181,out_path,"The output location can be the root level of a geodatabase or a feature dataset within a geodatabase. If the output location is a feature dataset, the coordinates are converted from the source coordinate system to the coordinate system of the feature dataset.",GeoData,Workspace,,,,,,,,,,,,,,,,
182,out_json_file,The output JSON  file.,GeoData,File,,,,,,,,,,,,,,,,
183,out_features,The output feature class to create.,Vector,Feature Class,,,,,,,,,,,,,,,,
184,output(Optional),"A stand-alone XML file that will be created containing the converted metadata.To check for problems in the metadata using the Esri Metadata Translators translation engine and not produce an output XML file, provide the pound sign (#) instead of a file name.",GeoData,File,,,,,,,,,,,,,,,,
185,Output_File(Optional),A stand-alone XML file that will be created containing the converted metadata.,GeoData,File,,,,,,,,,,,,,,,,
186,Output_Folder,An existing folder where the output XML files containing the converted metadata will be stored.,GeoData,Folder,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,
192,output(Optional),"A file that will be created containing the converted metadata. The type of file created is defined by the conversion type.To check for problems in the FGDC metadata using mp and not produce a output file, provide # instead of a file name.",GeoData,File,,,,,,,,,,,,,,,,
193,Output_File,A stand-alone XML file that will be created containing the converted metadata.,GeoData,File,,,,,,,,,,,,,,,,
194,Output_Folder,An existing folder where the output XML files containing the converted metadata will be stored.,GeoData,Folder,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,output,A file that will be created containing the converted metadata. The type of file created depends on the output method specified in the XSLT stylesheet.,GeoData,File,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,
198,Output_Type,"The CAD platform and file version of the output files. This value overrides any output_type values contained in the keyname column or alias column CADFile_type. Types include DGN_V8, DWG_R14, DWG_R2000, DWG_R2004, DWG_R2005, DWG_R2007, DWG_R2010, DXF_R14, DXF_R2000, DXF_R2004, DXF_R2005,  DXF_R2007, and DXF_R2010.",LiteralData,String,Output_File,The path of the desired output CAD drawing file. This name overrides any drawing name information included in the input features columns or alias columns named DrawingPathName.,Raster,CAD Drawing Dataset,,,,,,,,,,,,
199,output_folder,The destination folder where the output COLLADA files and texture image files will be placed.,GeoData,Folder,,,,,,,,,,,,,,,,
200,out_cover,The output coverage to be created.,Vector,Coverage,,,,,,,,,,,,,,,,
