2675,Output,Contains the accumulated input layer(s).,Any,ComplexData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,Output: Output file name,Specifies the name of the output file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,Output: Output file name,Specifies the name of the output file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite orbital ephemeris layer.,ORB,GeoData,OutputRPC: Output satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite orbital ephemeris layer.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,OutputOrbit: Satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite orbital ephemeris layer.,ORB,GeoData,OutputRPC: Rational Function layer,Specifies the output Rational Function layer that describes the math model of the image.,BIN,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,Ouput: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the output satellite orbital ephemeris layer that will receive the orbital information.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,OutputRPC: Rational Function layer,Specifies the output Rational Function layer that describes the math model of the image.,BIN,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,Output A-B Difference Layer: Output difference image layer or channel,Specifies the image channel or layer to which the (filtered) difference image is written.,Raster,Raster,OutputPos: Output positive threshold bitmap,Specifies the layers that contains the bitmap image showing the positive differences.,Bitmap,Raster,OutputNeg: Output negative threshold bitmap,Specifies the layers that contains the bitmap image showing the negative differences.,Bitmap,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,Output: Best Layer(s): Best image channels for classification,"BEST is an output parameter. Upon completion, CHNSEL writes a list of the optimum image channels to use for classification to this parameter. This value may be used as input for other functions.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,OutputLayer: Output clip file name,"The input layer or layers to clip. You can use any GDB-supported file format. This parameter also supports mixed input; that is, layers of various data types can be selected at once, such as rasters, vectors, and LUTs.",Mixed,ComplexData,OutputBoundaryLayer: Output clip boundary vector,"The input layer or layers to clip. You can use any GDB-supported file format. This parameter also supports mixed input; that is, layers of various data types can be selected at once, such as rasters, vectors, and LUTs.",Mixed,ComplexData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,Output Layers: Output thematic raster channel,Specifies the channel to receive the output thematic raster with its associated raster attributes. DBOC cannot be the same as DBIC (input layer).,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2741,OutputVec: Output vector layer,Specifies the layer to receive the transformed data.,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742,Output: Output classified channel,Specifies the output channel to receive the classification results.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,Output: Output contour segment,Specifies the output segment to receive the new vector contour data.,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
